,Energy In Bat 1,Energy In Bat 2,Energy In Bat 3,Energy Out Bat 1,Energy Out Bat 2,Energy Out Bat 3,PV Energy 1,PV Energy 2,PV Energy 3,Energy Gen 
2016-05-23,48.0,51.0,45.0,53.0,54.0,52.0,61.48,60.17,60.28,40.8
2016-05-24,56.0,59.0,54.0,49.0,49.0,49.0,37.51,37.03,32.67,154.9
2016-05-25,62.0,63.0,58.0,57.0,58.0,55.0,48.04,48.08,48.68,122.2
2016-05-26,56.0,56.0,53.0,66.0,66.0,67.0,27.2,27.04,27.41,146.0
2016-05-27,84.0,84.0,82.0,61.0,60.0,59.0,20.34,20.29,20.46,281.8
2016-05-28,96.0,99.0,94.0,27.0,28.0,28.0,33.23,33.06,33.6,349.2
2016-05-29,12.0,11.0,11.0,57.0,58.0,56.0,18.06,18.06,18.15,57.7
2016-05-30,61.0,60.0,59.0,56.0,57.0,55.0,21.78,21.76,21.76,200.5
2016-05-31,69.0,73.0,64.0,63.0,64.0,62.0,26.89,26.78,26.94,191.0
2016-06-01,39.0,37.0,38.0,52.0,56.0,51.0,22.73,22.66,22.76,117.2
2016-06-02,79.0,86.0,75.0,55.0,53.0,56.0,16.87,16.82,16.85,269.6
2016-06-03,53.0,54.0,52.0,53.0,53.0,52.0,28.9,28.76,28.98,162.8
2016-06-04,51.0,51.0,50.0,52.0,52.0,52.0,19.01,19.04,19.06,183.4
2016-06-05,53.0,55.0,53.0,52.0,49.0,50.0,23.12,23.01,23.11,183.5
2016-06-06,78.0,75.0,74.0,41.0,41.0,44.0,17.06,17.02,17.02,306.1
2016-06-07,55.0,55.0,58.0,42.0,43.0,48.0,33.86,33.68,33.95,172.8
2016-06-08,20.0,20.0,20.0,63.0,61.0,59.0,37.58,37.43,37.74,2.3
2016-06-09,68.0,69.0,70.0,49.0,48.0,54.0,48.08,47.81,48.31,164.8
2016-06-10,63.0,65.0,61.0,47.0,54.0,49.0,41.18,41.06,41.69,173.9
2016-06-11,57.0,64.0,56.0,52.0,50.0,53.0,33.68,33.46,33.64,170.8
2016-06-12,63.0,60.0,63.0,52.0,52.0,52.0,37.1,40.02,40.74,160.8
2016-06-13,49.0,48.0,49.0,60.0,58.0,61.0,71.61,71.41,72.02,0.0
2016-06-14,69.0,68.0,65.0,52.0,51.0,52.0,42.67,45.2,45.55,169.9
2016-06-15,60.0,59.0,58.0,62.0,61.0,62.0,40.27,39.94,40.25,132.6
2016-06-16,54.0,52.0,54.0,59.0,58.0,58.0,28.61,28.48,28.66,171.6
2016-06-17,54.0,54.0,52.0,57.0,55.0,58.0,27.15,27.03,27.2,171.6
2016-06-18,77.0,76.0,75.0,55.0,53.0,55.0,52.99,52.34,53.26,173.6
2016-06-19,77.0,75.0,77.0,52.0,51.0,52.0,21.26,21.17,21.25,286.5
2016-06-20,54.0,54.0,53.0,55.0,51.0,60.0,28.54,28.41,28.61,165.9
2016-06-21,50.0,50.0,53.0,61.0,59.0,62.0,52.51,51.74,51.85,75.2
2016-06-22,70.0,64.0,68.0,50.0,49.0,51.0,45.18,45.14,45.51,169.5
2016-06-23,60.0,57.0,58.0,54.0,50.0,53.0,35.24,35.13,35.4,164.4
2016-06-24,66.0,62.0,63.0,55.0,53.0,56.0,42.97,42.63,42.99,157.8
2016-06-25,61.0,60.0,60.0,61.0,59.0,60.0,17.83,17.78,17.75,219.7
2016-06-26,80.0,76.0,75.0,45.0,42.0,46.0,15.33,15.31,15.26,313.3
2016-06-27,43.0,43.0,44.0,51.0,52.0,56.0,17.95,17.9,17.91,183.5
2016-06-28,53.0,49.0,52.0,66.0,64.0,66.0,22.81,22.72,22.81,155.0
2016-06-29,72.0,71.0,70.0,44.0,41.0,49.0,25.25,25.54,25.19,259.0
2016-06-30,44.0,45.0,46.0,55.0,55.0,57.0,56.76,56.56,56.98,42.8
2016-07-01,63.0,59.0,61.0,48.0,46.0,50.0,37.36,36.46,36.48,166.9
2016-07-02,59.0,56.0,55.0,51.0,48.0,56.0,31.92,33.85,34.96,165.3
2016-07-03,59.0,56.0,62.0,52.0,49.0,54.0,35.89,40.43,38.36,163.0
2016-07-04,59.0,57.0,58.0,58.0,55.0,59.0,32.96,32.73,32.98,161.0
2016-07-05,73.0,71.0,72.0,55.0,51.0,54.0,15.44,15.44,15.38,276.5
2016-07-06,54.0,46.0,48.0,55.0,50.0,56.0,56.77,56.7,57.18,60.7
2016-07-07,61.0,54.0,55.0,48.0,45.0,51.0,35.31,35.08,35.31,164.3
2016-07-08,57.0,52.0,60.0,52.0,49.0,52.0,35.92,35.21,35.12,160.7
2016-07-09,61.0,58.0,59.0,56.0,52.0,56.0,39.47,39.82,41.61,154.6
2016-07-10,62.0,57.0,58.0,51.0,48.0,51.0,40.5,40.25,40.51,163.4
2016-07-11,61.0,57.0,57.0,55.0,52.0,55.0,40.19,39.87,40.26,152.4
2016-07-12,60.0,56.0,58.0,63.0,58.0,62.0,32.51,32.78,32.65,163.0
2016-07-13,68.0,65.0,66.0,58.0,55.0,58.0,45.08,45.03,45.13,165.4
2016-07-14,62.0,59.0,59.0,51.0,49.0,52.0,43.48,43.27,43.48,167.6
2016-07-15,70.0,69.0,70.0,60.0,54.0,59.0,18.54,18.43,18.47,258.5
2016-07-16,62.0,58.0,60.0,52.0,55.0,52.0,38.31,38.01,38.26,179.1
2016-07-17,44.0,44.0,42.0,63.0,53.0,63.0,44.3,44.01,44.35,87.1
2016-07-18,66.0,58.0,64.0,52.0,49.0,54.0,52.27,52.61,53.42,138.9
2016-07-19,66.0,61.0,66.0,54.0,54.0,54.0,28.38,28.27,28.36,220.4
2016-07-20,56.0,56.0,57.0,59.0,54.0,61.0,55.81,55.61,56.31,98.3
2016-07-21,67.0,60.0,61.0,54.0,47.0,49.0,40.59,41.8,43.97,173.3
2016-07-22,59.0,49.0,53.0,50.0,48.0,53.0,33.9,33.61,33.75,162.9
2016-07-23,61.0,56.0,63.0,57.0,52.0,59.0,44.12,43.79,44.08,155.0
